,E,F,HC,U,IT,CD,CS,M,I,RE
0,4.0,3.6,3.0,,4.0,6.0,5.8,6.0,6.8,8.0
1,5.0,3.6,3.0,,4.666666666666667,5.333333333333333,5.6,5.0,7.2,12.0
2,12.0,3.6,2.0,,2.6666666666666665,6.666666666666667,6.0,9.0,6.4,14.0
3,6.0,3.6,2.0,,4.0,7.333333333333333,5.0,8.0,8.8,13.0
4,4.0,3.6,2.0,,4.0,6.0,4.8,6.0,6.8,9.0
5,7.0,3.6,2.0,,5.333333333333333,6.666666666666667,4.8,4.0,7.6,15.0
6,4.0,3.6,2.0,,4.0,6.0,5.0,6.0,7.2,9.0
7,7.0,3.6,2.0,,4.0,8.0,4.4,4.0,8.4,14.0
8,5.0,3.6,4.0,,5.333333333333333,6.666666666666667,4.8,3.0,7.2,17.0
9,4.0,3.6,2.0,,4.0,8.666666666666666,5.0,4.0,6.4,14.0
(average),5.8,3.6000000000000005,2.4,,4.200000000000001,6.7333333333333325,5.119999999999999,5.5,7.280000000000001,12.5
single,5.0,3.6,12.0,,6.666666666666667,10.0,8.2,17.0,9.6,7.0
average,5.0,3.6,2.0,,4.666666666666667,8.666666666666666,7.0,14.0,7.6,2.0
complete,3.0,3.8,2.0,,6.0,6.666666666666667,7.0,7.0,5.0,2.0
